ID,sectors,regions,ESG_class,ESG_score,final_rating_env,final_normalized_score_env,final_rating_social,final_normalized_score_social,final_rating_governance,final_normalized_score_governance,MORE_score_2022,MORE_score_2021,MORE_score_2020,total_assets_2022,total_assets_2021,total_assets_2020,current_assets_2022,current_assets_2021,current_assets_2020,shareholders_funds_2022,shareholders_funds_2021,shareholders_funds_2020,current _liabilities_2022,current _liabilities_2021,current _liabilities_2020,turnover_2022,turnover_2021,turnover_2020,EBIT_2022,EBIT_2021,EBIT_2020,net_income_2022,net_income_2021,net_income_2020,EBITDA_2022,EBITDA_2021,EBITDA_2020
240,Waste Management & Treatment,Sardegna,S2,0.848214286,S1,0.928571429,,,S2,0.785714286,B,B,BB,13297.722,13372.205,14880.327,8369.456,8697.926,10101.017,626.62,621.718,507.158,4696.559,3961.183,4503.644,3517.476,3023.828,3023.828,131.282,261.03,636.565,4.901,114.56,59.936,309.073,432.996,2438.795
241,Business Services,Sardegna,S2,0.848214286,S1,0.928571429,,,S2,0.785714286,B,BB,B,320.516,191.505,173.513,193.784,70.84,56.698,19.193,15.807,10.423,22.937,1.612,52.156,27.612,11.2,11.2,4.509,5.999,0.58,3.387,5.382,0.424,4.878,8.05,n.a.
242,"Agriculture, Horticulture & Livestock",Sicilia,S4,0.628571429,S2,0.785714286,S3,0.642857143,S4,0.5,A,A,BBB,67235.991,59352.4,55829.07,36593.547,30356.179,28711.531,36870.993,31726.758,26760.819,16781.362,14216.004,12613.194,41073.165,33150.279,33150.279,5495.386,5261.739,1747.18,5144.234,4965.94,1453.121,8517.274,8193.982,4793.201
243,"Agriculture, Horticulture & Livestock",Sicilia,S4,0.521428571,S3,0.642857143,S5,0.357142857,S4,0.5,B,BBB,BB,8457.311,7271.815,5357.075,6727.356,6232.364,4919.087,993.482,870.833,505.607,4995.357,3529.833,2273.928,7193.599,9390.655,9390.655,198.406,419.579,113.101,122.65,365.227,54.554,201.296,n.a.,n.a.
244,"Agriculture, Horticulture & Livestock",Sicilia,S5,0.37012987,S6,0.214285714,S3,0.642857143,,,B,BB,B,4041.774,3875.872,3943.012,3964.274,3875.372,3942.512,226.861,195.626,166.32,3414.913,3530.246,3776.692,6165.634,7256.465,7256.465,52.585,34.005,30.221,30.735,28.405,25.046,n.a.,n.a.,n.a.
245,"Agriculture, Horticulture & Livestock",Sicilia,S3,0.678571429,S3,0.642857143,S4,0.5,S2,0.785714286,CC,CC,A,2513.162,2505.788,2067.328,2025.301,1908.594,1312.166,124.117,318.179,795.963,513.654,468.638,1230.47,1867.737,2287.304,2287.304,-122.071,-380.567,221.387,-194.062,-477.785,169.642,74.411,-184.697,368.086
246,"Agriculture, Horticulture & Livestock",Sicilia,S4,0.614285714,S3,0.642857143,S4,0.5,S3,0.642857143,0,0,BBB,n.a.,n.a.,467.937,n.a.,n.a.,315.042,n.a.,n.a.,70.832,n.a.,n.a.,362.914,n.a.,n.a.,n.a.,n.a.,n.a.,45.555,n.a.,n.a.,30.602,n.a.,n.a.,74.879
247,"Chemicals, Petroleum, Rubber & Plastic",Sicilia,S5,0.45,S5,0.357142857,S4,0.5,S4,0.5,0,BBB,BBB,n.a.,277493.44,233108.028,n.a.,191346.226,161233.442,n.a.,115024.426,96379.968,n.a.,103248.213,79769.091,n.a.,250997.032,250997.032,n.a.,35143.393,31341.599,n.a.,24207.744,16117.201,n.a.,44257.97,41418.522
248,Metals & Metal Products,Sicilia,S4,0.592857143,S2,0.785714286,S2,0.785714286,S5,0.357142857,0,BBB,A,n.a.,214451.19,182542.87,n.a.,175018.811,144980.674,n.a.,90066.124,76255.085,n.a.,116882.177,96457.883,n.a.,198858.082,198858.082,n.a.,25461.384,40454.068,n.a.,18811.039,27432.754,n.a.,30284.439,44998.437
249,Food & Tobacco Manufacturing,Sicilia,S3,0.681818182,S2,0.785714286,S4,0.5,,,0,BBB,AA,n.a.,175065.925,87898.685,n.a.,133997.136,49840.828,n.a.,61692.052,51491.161,n.a.,107757.24,26237.201,n.a.,163389.465,163389.465,n.a.,25707.5,13201.36,n.a.,18909.54,9319.047,n.a.,29685.472,14224.312
250,Food & Tobacco Manufacturing,Sicilia,S4,0.577922078,S2,0.785714286,S6,0.214285714,,,B,B,BB,154206.801,91734.668,70872.696,122974.878,69130.102,50713.559,18395.559,10432.565,10084.806,99453.65,58105.624,44295.945,160239.99,112074.747,112074.747,916.363,706.903,582.551,449.039,391.562,350.849,3471.624,2439.041,4403.413
251,"Industrial, Electric & Electronic Machinery",Sicilia,S4,0.607142857,S2,0.785714286,S6,0.214285714,S3,0.642857143,BB,BBB,AA,59465.854,35170.808,28939.246,55469.006,31706.699,25587.861,11157.626,11504.889,11902.551,44266.553,20168.631,12800.473,70061.341,41224.089,41224.089,3431.531,2775.958,7166.301,2152.736,2002.337,5197.01,4061.298,3362.731,7636.848
252,Food & Tobacco Manufacturing,Sicilia,S4,0.577922078,S2,0.785714286,S6,0.214285714,,,BB,BB,BB,67158.858,46937.488,41142.624,44651.472,31817.896,28333.874,17351.588,15017.308,14309.883,33691.751,22202.412,19057.757,80049.319,63749.065,63749.065,3534.587,1267.607,1570.28,2063.97,707.425,871.872,5307.293,2519.139,2808.899
253,Food & Tobacco Manufacturing,Sicilia,S5,0.45,S5,0.357142857,S4,0.5,S4,0.5,0,BB,BBB,n.a.,53335.94,46121.67,n.a.,27689.492,20242.458,n.a.,19614.535,18564.524,n.a.,26959.905,18752.494,n.a.,58523.154,58523.154,n.a.,2352.482,2943.581,n.a.,1543.826,2028.886,n.a.,5233.75,4809.426
254,Food & Tobacco Manufacturing,Sicilia,S4,0.578571429,S5,0.357142857,S4,0.5,S2,0.785714286,B,BB,BB,51553.558,46615.555,58392.907,26115.96,30324.466,32636.387,18944.44,11705.708,22612.003,23586.931,21104.95,20290.807,36981.547,36718.728,36718.728,27.631,3044.505,3427.981,-189.358,1119.292,1317.565,1564.16,3995.14,3844.954
255,"Chemicals, Petroleum, Rubber & Plastic",Sicilia,S3,0.692857143,S2,0.785714286,S3,0.642857143,S3,0.642857143,BBB,BBB,BBB,46589.774,50860.705,46051.818,34176.994,37346.118,31285.853,22515.636,25590.358,22054.185,19457.674,18248.797,15503.503,35897.859,34063.966,34063.966,3745.892,5926.557,4145.697,2125.733,4036.173,2731.868,6662.224,8281.979,5835.498
256,"Chemicals, Petroleum, Rubber & Plastic",Sicilia,S4,0.578571429,S5,0.357142857,S4,0.5,S2,0.785714286,BB,B,BB,39837.425,36571.938,30914.646,29427.495,25360.433,19836.434,8713.087,6838.191,7299.789,24249.561,20563.04,14208.53,38658.257,32684.437,32684.437,3275.446,664.778,1034.869,2304.816,487.002,630.095,4454.86,1835.473,2108.994
257,Transport Manufacturing,Sicilia,S4,0.607142857,S2,0.785714286,S6,0.214285714,S3,0.642857143,0,BB,BB,n.a.,23713.871,19345.763,n.a.,17467.23,12608.976,n.a.,8187.575,6090.31,n.a.,9355.527,7966.649,n.a.,30756.738,30756.738,n.a.,3556.216,963.667,n.a.,2249.666,392.278,n.a.,4122.799,1353.171
258,"Chemicals, Petroleum, Rubber & Plastic",Sicilia,S3,0.681818182,S2,0.785714286,S4,0.5,,,BB,BB,BB,39342.722,36601.25,38274.061,17136.7,16496.905,18239.459,16662.733,16283.487,15891.348,14271.507,12206.943,11123.58,23267.703,20380.791,20380.791,1041.816,1405.515,990.861,379.246,392.141,79.366,2871.04,2602.344,1327.024
259,Food & Tobacco Manufacturing,Sicilia,S5,0.45,S5,0.357142857,S4,0.5,S4,0.5,0,BB,B,n.a.,25426.378,24846.856,n.a.,12377.826,11530.082,n.a.,7042.508,6735.737,n.a.,11391.222,13355.192,n.a.,16977.598,16977.598,n.a.,612.795,553.758,n.a.,306.769,355.171,n.a.,957.331,866.486
260,Food & Tobacco Manufacturing,Sicilia,S3,0.664285714,S2,0.785714286,S4,0.5,S3,0.642857143,CCC,CCC,CCC,41011.634,34747.937,31494.372,25243.709,19367.821,16089.123,12124.566,11429.837,12625.277,17193.925,11216.814,9846.219,19785.125,16609.014,16609.014,-1337.22,-1544.711,-2120.421,-1305.053,-1301.866,-1775.945,768.33,721.776,387.545
261,Food & Tobacco Manufacturing,Sicilia,S5,0.385714286,S5,0.357142857,S4,0.5,S5,0.357142857,BBB,BBB,BBB,20944.194,21317.197,19074.979,10662.323,10199.208,9364.27,13861.456,13326.642,11354.389,5145.334,5536.953,6859.291,13965.962,11486.193,11486.193,860.293,667.964,391.285,594.814,395.547,174.036,1956.417,1301.032,1000.654
262,"Industrial, Electric & Electronic Machinery",Sicilia,S3,0.692857143,S2,0.785714286,S3,0.642857143,S3,0.642857143,BB,BBB,BBB,14114.178,12296.911,10476.488,9390.62,7305.22,5400.999,4835.931,4744.676,4521.034,6367.331,3861.492,2769.361,10468.351,7685.811,7685.811,234.501,283.833,442.55,127.78,223.641,300.337,770.393,789.21,760.639
263,"Industrial, Electric & Electronic Machinery",Sicilia,S3,0.7,S2,0.785714286,S5,0.357142857,S2,0.785714286,A,AA,AA,10719.001,11027.334,10359.959,7629.78,6148.788,5568.674,9563.229,10105.944,9223.024,921.781,703.124,919.719,3945.997,3222.295,3222.295,1437.666,1108.696,1907.04,957.285,882.92,1429.134,1825.368,1476.391,2218.817
264,"Chemicals, Petroleum, Rubber & Plastic",Sicilia,S2,0.764285714,S3,0.642857143,S1,0.928571429,S2,0.785714286,AAA,CCC,CC,2823716,1210787,1601454,2240009,513518,736867,1615301,112850,198622,1203383,476707,555287,10587145,2620286,2620286,1948811,-108801,-419563,1502054,-85675,-472536,2095592,111988,-348919
265,"Chemicals, Petroleum, Rubber & Plastic",Sicilia,S3,0.7,S3,0.642857143,S1,0.928571429,S3,0.642857143,C,D,B,582043,567855,518860,96434,95512,61120,28260,-4289,53784,124158,388045,295804,240846,239057,239057,-331393,-39892,19561,-331989,-39176,19841,-303716,-12097,41724
266,Retail,Sicilia,S4,0.578571429,S3,0.642857143,S3,0.642857143,S4,0.5,0,BB,0,n.a.,39806.617,n.a.,n.a.,16878.289,n.a.,n.a.,15150.944,n.a.,n.a.,18451.856,n.a.,n.a.,102148.985,102148.985,n.a.,337.321,n.a.,n.a.,325.676,n.a.,n.a.,1430.952,n.a.
267,Retail,Sicilia,S4,0.485714286,S3,0.642857143,S4,0.5,S5,0.357142857,BB,BBB,BBB,9874.175,4602.369,2005.17,5723.496,2940.678,1346.251,1449.329,923.619,619.905,4994.737,2499.792,592.115,36631.43,18898.279,18898.279,683.778,386.832,268.834,525.709,303.714,223.16,937.73,541.237,314.261
268,Wholesale,Sicilia,S5,0.342857143,S6,0.214285714,S6,0.214285714,S4,0.5,0,BB,BB,n.a.,2272.625,1111.526,n.a.,2127.591,973.844,n.a.,415.409,301.782,n.a.,1515.865,628.247,n.a.,4997.679,4997.679,n.a.,137.905,18.07,n.a.,113.627,9.525,n.a.,157.598,37.801
269,Utilities,Sicilia,S3,0.657142857,S2,0.785714286,S2,0.785714286,S4,0.5,0,BB,BB,n.a.,241669.549,240779.646,n.a.,161652.273,176719.339,n.a.,70814.5,56295.475,n.a.,50473.283,43149.136,n.a.,140126.504,140126.504,n.a.,20167.543,10039.377,n.a.,14519.029,13059.754,n.a.,36877.52,33842.351
270,Utilities,Sicilia,S2,0.785714286,S2,0.785714286,S2,0.785714286,S2,0.785714286,BB,BB,B,268243.872,230746.015,258017.005,146989.903,103684.788,123123.141,82619.577,79522.476,76612.234,170512.251,146071.022,142431.977,73585.824,86259.321,86259.321,7544.396,2819.838,-123.745,2625.952,2781.19,1755.357,24125.725,24312.371,20878.043
271,Utilities,Sicilia,S4,0.6,S5,0.357142857,S1,0.928571429,S3,0.642857143,B,BB,BB,61660.855,43012.813,39291.035,40081.075,21393.461,18583.199,17355.217,17144.699,16657.627,23095.19,13663.522,9415.689,33010.879,25887.526,25887.526,379.477,871.697,660.482,210.514,487.072,520.181,2131.271,2624.929,2226.817
272,Utilities,Sicilia,S3,0.705357143,S2,0.785714286,,,S3,0.642857143,0,A,A,n.a.,1380.58,962.596,n.a.,914.877,670.528,n.a.,829.084,760.381,n.a.,277.054,192.334,n.a.,2259.768,2259.768,n.a.,280.701,256.232,n.a.,188.703,181.131,n.a.,341.066,307.323
273,Utilities,Sicilia,S2,0.814285714,S2,0.785714286,S1,0.928571429,S2,0.785714286,BBB,BBB,BBB,42002.757,37636.659,30039.79,40033.548,35838.771,28727.115,13446.335,12298.434,11489.725,27787.718,24623.196,17950.499,122253.583,66759.492,66759.492,5155.49,3938.247,4245.991,2146.901,2808.709,2886.28,8512.72,5747.72,6262.551
274,Construction,Sicilia,S3,0.75,S2,0.785714286,S1,0.928571429,S3,0.642857143,BB,BB,BB,240636.142,204074.399,175235.484,209965.693,173133.446,146405.516,47232.005,45287.107,40917.972,178767.055,147628.365,126104.71,218467.448,224209.246,224209.246,6288.977,7718.428,7396.376,4782.289,6113.459,5230.369,11305.808,12891.243,11709.896
275,Construction,Sicilia,S2,0.837662338,S2,0.785714286,S1,0.928571429,,,B,B,B,173966.629,43637.878,16846.235,172975.109,42704.994,15961.925,12050.272,3908.098,3052.452,156047.527,36529.271,12266.411,285405.309,96072.195,96072.195,12344.384,2372.503,1313.027,7545.086,492.047,172.368,13258.021,3245.425,1715.657
276,Construction,Sicilia,S4,0.6,S2,0.785714286,S4,0.5,S4,0.5,A,AA,B,36548.755,20005.591,7425.865,35920.389,19490.3,6734.719,9729.726,7095.117,811.109,24695.549,11963.722,5300.225,33543.572,30993.534,30993.534,6978.325,9571.808,414.794,4729.726,6805.96,175.166,7047.364,9619.72,514.237
277,Construction,Sicilia,S5,0.328571429,S5,0.357142857,S6,0.214285714,S5,0.357142857,AA,BBB,BB,23114.605,12987.378,1245.337,19866.137,10823.637,1217.361,7259.804,1928.847,149.563,13440.852,9964.943,872.785,21820.466,15091.047,15091.047,7463.136,3657.735,40.341,5330.959,1779.283,22.379,8116.77,3950.198,73.09
278,,,S2,0.837662338,S2,0.785714286,S1,0.928571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,"Transport, Freight & Storage",Sicilia,S3,0.75,S2,0.785714286,S1,0.928571429,S3,0.642857143,A,BBB,BBB,8327269,7326663,6494814,2213485,1305853,919429,5336752,4450694,3997045,1336242,1197709,1026470,4888975,3460654,3460654,1244173,516647,329897,1109686,437338,272629,1692873,946924,658877
280,Wholesale,Sicilia,S4,0.564285714,S2,0.785714286,S3,0.642857143,S5,0.357142857,BB,BB,BB,8429.953,4597.351,2046.369,8175.251,4184.005,1624.367,811.332,581.154,381.907,6141.403,3392.068,1338.941,11212.672,8216.707,8216.707,488.104,368.958,98.529,230.18,199.243,45.804,912.694,391.994,107.242
281,Wholesale,Sicilia,S4,0.478571429,S5,0.357142857,S3,0.642857143,S4,0.5,0,BB,BB,n.a.,6930.627,5967.638,n.a.,6078.416,5017.122,n.a.,1748.527,1703.513,n.a.,3265.071,2361.696,n.a.,7444.143,7444.143,n.a.,296.371,151.62,n.a.,122.872,37.699,n.a.,318.829,152.779
282,"Travel, Personal & Leisure",Sicilia,S4,0.485714286,S5,0.357142857,S5,0.357142857,S3,0.642857143,BB,B,B,6270.205,5361.752,4652.254,3526.423,3150.759,2426.417,758.439,621.732,547.359,3659.179,3444.115,2742.995,8019.535,6313.718,6313.718,268.735,195.158,118.847,136.71,74.373,2.43,653.786,459.013,n.a.
283,"Travel, Personal & Leisure",Sicilia,S3,0.75,S2,0.785714286,S1,0.928571429,S3,0.642857143,BBB,CCC,B,4143.257,4190.597,4538.659,2965.223,3124.027,3456.218,644.09,432.997,779.574,2214.542,2020.447,2172.076,5499.445,3540.62,3540.62,383.87,-295.259,76.21,211.092,-346.577,52.392,385.523,-163.849,180.845
284,Business Services,Sicilia,S4,0.592857143,S1,0.928571429,S6,0.214285714,S4,0.5,BB,BB,BB,36025.332,15851.981,6953.297,35198.674,15200.268,6330.378,6596.484,2146.454,871.972,26919.875,10466.497,4562.435,45215.703,21432.079,21432.079,7391.721,1854.949,945.088,4449.4,1274.482,643.583,7551.477,1980.265,1030.44
285,Business Services,Sicilia,S4,0.528571429,S1,0.928571429,S6,0.214285714,S5,0.357142857,A,BBB,BB,23292.052,15102.914,5066.468,22216.083,13973.264,4063.907,8543.079,3000.545,1400.329,13137.319,10687.242,2798.602,32183.449,23395.73,23395.73,8718.682,6320.96,261.481,5542.532,2090.217,127.781,8839.73,6416.96,329.393
286,Business Services,Sicilia,S4,0.592857143,S1,0.928571429,S6,0.214285714,S4,0.5,0,C,C,n.a.,11014.131,9677.442,n.a.,9436.85,8187.529,n.a.,-11497.37,-9940.436,n.a.,6073.439,4923.067,n.a.,14218.571,14218.571,n.a.,-1157.051,-10472.609,n.a.,-1556.936,-10959.626,n.a.,-959.96,-9801.834
287,Business Services,Sicilia,S4,0.557142857,S1,0.928571429,S5,0.357142857,S5,0.357142857,BB,BB,BB,6578.235,5964.354,4646.804,6105.441,5567.432,4319.236,867.77,707.334,606.725,4279.106,3970.503,2939.168,12399.224,10668.149,10668.149,405.882,289.913,408.253,160.435,100.609,214.492,480.994,388.566,608.085
288,Business Services,Sicilia,S3,0.685714286,S1,0.928571429,S5,0.357142857,S3,0.642857143,BBB,BBB,BBB,9392.777,7709.605,5543.891,7762.143,5891.691,4151.692,3257.971,2403.17,1677.562,2822.774,2676.067,3142.97,9551.875,7781.734,7781.734,1162.354,1201.439,555.67,854.803,725.606,327.734,1514.628,1552.036,690.671
289,"Transport, Freight & Storage",Sicilia,S3,0.685714286,S4,0.5,S2,0.785714286,S2,0.785714286,BBB,BBB,BBB,239917.802,245134.715,249563.837,43539.029,33119.477,38338.848,117107.29,127126.852,129204.312,48876.542,43346.969,37306.803,110620.321,99668.494,99668.494,9356.336,20048.938,15266.174,17800.426,17385.485,7464.521,21647.78,33105.207,25384.851
290,"Transport, Freight & Storage",Sicilia,S3,0.742857143,S1,0.928571429,S3,0.642857143,S3,0.642857143,B,BB,BB,166339.644,124884.066,106519.652,131278.967,88816.641,63400.675,44069.32,46586.292,46061.623,36161.165,31752.921,18528.696,98799.643,85815.949,85815.949,-115.706,2133.46,3199.575,-2779.366,197.889,250.181,8423.408,10082.086,10757.871
291,"Transport, Freight & Storage",Sicilia,S3,0.714285714,S1,0.928571429,S4,0.5,S3,0.642857143,BB,BB,0,77463.724,64980.526,n.a.,42770.808,31923.488,n.a.,15771.715,14678.819,n.a.,46450.559,37608.815,n.a.,92512.671,76943.356,76943.356,2457.414,4417.734,n.a.,1092.897,2564.819,n.a.,5823.553,7472.005,n.a.
292,"Transport, Freight & Storage",Sicilia,S2,0.8,S1,0.928571429,S1,0.928571429,S3,0.642857143,0,0,B,n.a.,n.a.,116176.853,n.a.,n.a.,77732.197,n.a.,n.a.,11634.564,n.a.,n.a.,79449.104,n.a.,n.a.,n.a.,n.a.,n.a.,2464.866,n.a.,n.a.,936.777,n.a.,n.a.,6406.71
293,"Transport, Freight & Storage",Sicilia,S4,0.557142857,S1,0.928571429,S5,0.357142857,S5,0.357142857,BBB,BBB,BBB,29272.925,26294.035,27789.711,21466.839,19290.849,19048.226,11233.027,9961.54,11949.016,15253.676,14024.463,13257.24,53485.986,49537.128,49537.128,2040.348,1275.679,2642.617,1592.76,890.525,2161.119,2520.504,1832.988,3278.678
294,Wholesale,Sicilia,S4,0.492857143,S5,0.357142857,S7,0.071428571,S2,0.785714286,BB,B,B,217580.454,136041.384,126554.275,150728.359,120707.388,110141.532,30856.231,8218.702,8218.703,168454.765,122751.031,113079.776,745112.561,529133.933,529133.933,4184.504,234.695,255.264,4020.163,0,0,11691.021,2117.396,2054.68
295,Wholesale,Sicilia,S4,0.542857143,S2,0.785714286,S6,0.214285714,S4,0.5,A,BB,B,42639.639,23332.964,8653.304,35416.245,22057.039,7296.592,11688.722,2091.195,1071.654,26084.764,18246.652,4479.692,68745.98,25782.558,25782.558,7391.269,1533.329,248.334,5154.765,1022.87,92.383,7637.746,1685.449,376.823
296,Wholesale,Sicilia,S4,0.507142857,S2,0.785714286,S5,0.357142857,S5,0.357142857,0,BBB,BBB,n.a.,13259.924,12360.999,n.a.,7824.074,7188.459,n.a.,4708.006,4567.318,n.a.,5759.263,5034.189,n.a.,42109.009,42109.009,n.a.,773.44,413.128,n.a.,504.977,286.069,n.a.,1089.564,751.114
297,Retail,Sicilia,S4,0.535714286,S2,0.785714286,S4,0.5,S5,0.357142857,BB,B,B,16702.03,15946.798,15254.859,9499.178,9700.81,9143.747,2684.744,2358.162,1849.577,10094.127,8673.317,7979.479,29155.649,25314.155,25314.155,550.152,485.739,281.498,258.823,205.734,83.089,1346.448,1124.342,873.548
298,Retail,Sicilia,S3,0.721428571,S2,0.785714286,S2,0.785714286,S3,0.642857143,BBB,BBB,BBB,550644.53,470596.237,381616.573,261670.013,235278.583,198489.943,196625.639,164943.981,117076.39,272567.258,230458.964,195208.14,1060640.569,964973.229,964973.229,49614.026,57491.229,48489.276,38633.739,43428.581,34491.899,67490.634,72646.127,56746.142
299,"Public Administration, Education, Health Social Services",Sicilia,S3,0.714285714,S1,0.928571429,S4,0.5,S3,0.642857143,0,BBB,BB,n.a.,15070.154,13669.879,n.a.,4395.625,3261.7,n.a.,7275.987,6813.191,n.a.,3234.92,3769.093,n.a.,7695.533,7695.533,n.a.,869.616,352.797,n.a.,462.798,171.047,n.a.,1383.195,806.831
300,Property Services,Sicilia,S4,0.628571429,S1,0.928571429,S7,0.071428571,S3,0.642857143,BB,BB,BBB,170218.376,142945.96,136071.05,106711.079,90252.234,90680.249,53536.017,44759.007,46834.915,65788.628,56616.313,59407.705,320829.847,277503.39,277503.39,11739.4,8583.696,7487.296,6412.344,3534.262,3947.679,18214.334,13521.032,12494.153
301,Business Services,Sicilia,S2,0.8,S1,0.928571429,S1,0.928571429,S3,0.642857143,0,B,B,n.a.,78583.063,80376.926,n.a.,72971.215,73300.726,n.a.,3553.619,3173.04,n.a.,33305.901,37187.321,n.a.,128153.475,128153.475,n.a.,252.716,-993.899,n.a.,380.58,158.096,n.a.,5905.461,4335.127
302,"Public Administration, Education, Health Social Services",Sicilia,S2,0.772727273,S1,0.928571429,S4,0.5,,,BB,BB,BB,67382.243,59689.662,55995.579,66311.022,58886.017,54811.125,9503.839,9462.723,9386.093,23445.699,19461.989,17683.283,139616.081,148541.61,148541.61,347.037,334.961,387.422,41.116,76.631,68.091,874.878,844.049,892.749
303,Waste Management & Treatment,Sicilia,S4,0.621428571,S1,0.928571429,S5,0.357142857,S4,0.5,0,BB,B,n.a.,37143.227,40028.356,n.a.,22872.879,26720.309,n.a.,10842.412,8541.987,n.a.,17257.769,23480.405,n.a.,29800.621,29800.621,n.a.,1035.016,46.186,n.a.,2300.426,725.506,n.a.,2080.096,1055.793
304,Business Services,Sicilia,S2,0.848214286,S1,0.928571429,,,S2,0.785714286,0,D,C,n.a.,22241.805,22784.396,n.a.,180.251,722.842,n.a.,-10.836,4.528,n.a.,21024.791,20724.233,n.a.,0.003,0.003,n.a.,-14.315,-11.498,n.a.,-15.365,-61.249,n.a.,n.a.,n.a.
305,Business Services,Sicilia,S3,0.671428571,S3,0.642857143,S2,0.785714286,S3,0.642857143,A,A,BB,14969.078,4641.094,5133.044,9950.278,2163.269,2643.691,12965.685,3047.008,4280.789,608.083,1169.499,242.561,1940.378,121.182,121.182,681.362,-46.158,-60.394,6414.053,2166.219,-29.477,900.72,-1.893,-17.638
306,Business Services,Sicilia,S3,0.7,S3,0.642857143,S1,0.928571429,S3,0.642857143,BB,BBB,BB,22173.143,22142.414,22015.872,2085.107,1590.54,3511.747,21676.385,21690.719,21618.27,312.843,231.901,203.521,937.116,959.394,959.394,-11.504,77.208,-135.894,-14.332,72.447,-1090.119,60.485,150.098,-65.052
307,Business Services,Sicilia,S2,0.8,S1,0.928571429,S1,0.928571429,S3,0.642857143,B,CCC,B,21750.064,20076.087,22261.595,5680.369,4006.392,6191.9,433.969,372.508,283.137,807.075,19697.299,3474.491,450,300.005,300.005,278.768,146.854,1.867,61.46,89.371,2.857,n.a.,n.a.,2.511
308,Business Services,Sicilia,S3,0.742857143,S1,0.928571429,S3,0.642857143,S3,0.642857143,BBB,BBB,A,1723.125,1676.207,1763.423,1511.602,1467.56,1554.776,1438.82,1397.389,1353.35,80.381,13.471,60.733,289.867,214.041,214.041,89.35,91.262,464.426,41.434,44.039,400.15,89.936,91.566,464.76
309,"Agriculture, Horticulture & Livestock",Valle D'Aosta,S4,0.590909091,S3,0.642857143,S4,0.5,,,BBB,B,BB,3448.397,3210.54,3144.959,1668.26,1405.077,1298.829,1022.846,730.731,725.879,1461.956,1560.001,1562.577,2528.381,1962.964,1962.964,328.594,19.328,115.476,292.132,8.291,99.549,438.353,130.676,209.304
310,"Agriculture, Horticulture & Livestock",Valle D'Aosta,S5,0.435064935,S3,0.642857143,S7,0.071428571,,,CCC,B,B,644.947,389.251,366.132,501.822,348.26,353.157,11.269,11.018,10.52,515.306,378.233,355.612,961.526,805.765,805.765,4.637,0.16,-0.014,0,0,0,24.923,5.184,5.368
311,Construction,Valle D'Aosta,S2,0.785714286,S2,0.785714286,S2,0.785714286,,,CC,CC,BBB,94.443,123.91,131.012,85.891,113.244,121.303,-33.538,-6.817,7.606,81.728,89.25,80.716,177.075,182.551,182.551,-25.898,-12.463,17.394,-26.722,-13.935,16.231,-23.422,-9.151,20.669
312,"Agriculture, Horticulture & Livestock",Valle D'Aosta,S4,0.487012987,S3,0.642857143,S6,0.214285714,,,B,CC,CC,691.058,586.564,615.606,184.356,146.67,134.435,5.363,-11.637,-36.26,74.55,64.426,70.295,106.042,68.872,68.872,1.543,-38,-34.825,0,-40.374,-37.28,37.735,3.276,14.398
313,"Agriculture, Horticulture & Livestock",Valle D'Aosta,S3,0.642857143,S3,0.642857143,,,,,B,B,BB,19.508,23.486,27.8,19.3,23.278,27.592,17.044,20.068,22.761,2.464,3.418,5.039,5.718,6.808,6.808,-3.1,-2.591,-1.491,-3.094,-2.577,-1.475,n.a.,n.a.,n.a.
314,Food & Tobacco Manufacturing,Valle D'Aosta,S3,0.635714286,S2,0.785714286,S5,0.357142857,S3,0.642857143,0,B,B,n.a.,2659.31,2084.416,n.a.,2040.85,1508.629,n.a.,146.614,125.204,n.a.,1972.201,1439.167,n.a.,5541.956,5541.956,n.a.,50.046,60.533,n.a.,21.41,24.571,n.a.,n.a.,65.03
315,"Industrial, Electric & Electronic Machinery",Valle D'Aosta,S4,0.571428571,S2,0.785714286,S5,0.357142857,S4,0.5,BBB,BB,BB,5814.352,4253.359,3130.502,4636.978,3202.945,2057.448,1522.083,1027.365,831.387,3588.228,2368.038,1587.306,7732.208,5312.451,5312.451,1015.842,413.299,257.929,691.144,295.948,147.182,1235.044,618.571,432.503
316,Food & Tobacco Manufacturing,Valle D'Aosta,S4,0.607142857,S2,0.785714286,S6,0.214285714,S3,0.642857143,A,BBB,BBB,2434.748,1939.744,1601.932,1398.147,930.23,891.794,838.335,702.237,355.956,812.105,402.176,418.639,3276.865,2147.566,2147.566,198.933,51.023,117.531,136.098,26.058,75.407,267.898,114.598,176.75
317,Food & Tobacco Manufacturing,Valle D'Aosta,S4,0.525974026,S2,0.785714286,S7,0.071428571,,,BBB,BB,BBB,3080.639,2590.961,2497.767,2602.387,2089.572,2183.347,1072.465,840.297,838.61,1690.56,1445.906,1363.741,2677.336,2087.967,2087.967,239.137,-0.475,52.908,235.261,5.324,58.668,289.714,40.491,92.955
318,Food & Tobacco Manufacturing,Valle D'Aosta,S4,0.607142857,S2,0.785714286,S6,0.214285714,S3,0.642857143,CC,CCC,C,1581.347,1594.571,1502.406,406.398,394.981,390.382,142.784,168,164.841,1048.632,998.577,872.965,2050.049,1623.956,1623.956,-17.442,10.283,-56.345,-25.217,3.158,-63.562,25.816,50.346,-16.96
