ID,sectors,regions,ESG_class,ESG_score,final_rating_env,final_normalized_score_env,final_rating_social,final_normalized_score_social,final_rating_governance,final_normalized_score_governance,MORE_score_2022,MORE_score_2021,MORE_score_2020,total_assets_2022,total_assets_2021,total_assets_2020,current_assets_2022,current_assets_2021,current_assets_2020,shareholders_funds_2022,shareholders_funds_2021,shareholders_funds_2020,current _liabilities_2022,current _liabilities_2021,current _liabilities_2020,turnover_2022,turnover_2021,turnover_2020,EBIT_2022,EBIT_2021,EBIT_2020,net_income_2022,net_income_2021,net_income_2020,EBITDA_2022,EBITDA_2021,EBITDA_2020
18,"Agriculture, Horticulture & Livestock",Puglia,S4,0.55,S3,0.642857143,S4,0.5,S4,0.5,0,B,BB,n.a.,9017.235,6778.243,n.a.,3105.74,4105.265,n.a.,1067.98,862.188,n.a.,4672.623,2714.762,n.a.,7915.063,7915.063,n.a.,349.012,393.965,n.a.,205.793,293.826,n.a.,521.436,686.349
19,"Agriculture, Horticulture & Livestock",Puglia,S4,0.590909091,S3,0.642857143,S4,0.5,,,B,B,B,9109.483,6748.06,4446.658,9101.536,6748.034,4446.27,1027.531,992.356,951.32,6956.964,4695.567,2835.201,6411.558,6891.405,6891.405,128.033,116.575,92.038,35.534,41.952,20.675,128.112,116.936,92.761
20,,,S3,0.735714286,S3,0.642857143,S2,0.785714286,S2,0.785714286,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Agriculture, Horticulture & Livestock",Puglia,S3,0.642857143,S3,0.642857143,,,S3,0.642857143,AA,AA,AA,3130.064,1187.029,875.534,2834.049,1042.636,766.141,1556.739,1177.602,869.187,1573.325,9.427,6.347,3338.923,3222.463,3222.463,420.85,306.131,282.322,379.138,308.415,284.55,n.a.,n.a.,n.a.
22,Food & Tobacco Manufacturing,Puglia,S3,0.733766234,S2,0.785714286,S3,0.642857143,,,A,A,A,273978.736,257894.012,249346.604,214766.468,193766.433,176229.911,213907.4,203054.879,194541.193,55494.853,50070.416,49757.921,365032.49,279660.553,279660.553,16991.894,5280.633,13705.912,14224.195,6091.637,10107.283,27037.657,16349.857,21418.783
23,Metals & Metal Products,Puglia,S3,0.728571429,S2,0.785714286,S4,0.5,S2,0.785714286,BB,BBB,0,150944.927,92730.642,n.a.,83234.035,52063.982,n.a.,41311.916,28753.111,n.a.,39925.463,22873.509,n.a.,102989.507,63848.295,63848.295,14046.938,11540.185,n.a.,8100.105,7927.502,n.a.,17970.126,13419.743,n.a.
24,Food & Tobacco Manufacturing,Puglia,S3,0.685714286,S1,0.928571429,S5,0.357142857,S3,0.642857143,0,BB,BB,n.a.,73318.604,68994.42,n.a.,40079.281,41198.112,n.a.,20324.969,15460.678,n.a.,35997.659,35024.498,n.a.,100166.426,100166.426,n.a.,4769.851,5149.222,n.a.,2929.737,3305.654,n.a.,6507.425,6410.282
25,Food & Tobacco Manufacturing,Puglia,S2,0.785714286,S2,0.785714286,S2,0.785714286,S2,0.785714286,BB,B,BB,140324.506,113057.004,112685.915,50786.486,25065.916,33273.304,57632.554,47462.194,48846.588,52333.594,42656.166,47290.38,96811.604,80168.922,80168.922,4195.899,1416.112,5167.274,1316.919,135.275,3077.833,9534.638,5082.062,10037.63
26,Food & Tobacco Manufacturing,Puglia,S4,0.542857143,S2,0.785714286,S6,0.214285714,S4,0.5,0,A,A,n.a.,77419.314,77984.864,n.a.,39354.27,45710.821,n.a.,40482.33,37010.114,n.a.,31927.167,34163.499,n.a.,80445.592,80445.592,n.a.,3504.937,5658.009,n.a.,3472.215,4582.699,n.a.,5209.436,7353.694
27,Metals & Metal Products,Puglia,S3,0.7,S2,0.785714286,S5,0.357142857,S2,0.785714286,0,BBB,0,n.a.,86721.946,n.a.,n.a.,52115.227,n.a.,n.a.,45249.326,n.a.,n.a.,26652.315,n.a.,n.a.,62058.375,62058.375,n.a.,10051.818,n.a.,n.a.,7996.793,n.a.,n.a.,15253.511,n.a.
28,Food & Tobacco Manufacturing,Puglia,S4,0.535714286,S2,0.785714286,S4,0.5,S5,0.357142857,0,BB,BB,n.a.,33445.768,24333.845,n.a.,24309.87,18402.99,n.a.,5718.953,5461.214,n.a.,21784.196,14365.703,n.a.,47034.463,47034.463,n.a.,1601.923,1575.693,n.a.,992.738,973.455,n.a.,2197.945,2161.879
29,Food & Tobacco Manufacturing,Puglia,S3,0.728571429,S2,0.785714286,S4,0.5,S2,0.785714286,A,A,A,56655.358,56177.22,54473.433,33617.005,32115.616,29317.909,37893.955,35689.186,32980.933,15119.195,14311.761,13645.293,47922.351,40452.471,40452.471,3352.262,4134.344,3498.15,2937.832,3446.564,3146.053,5774.634,6531.293,5643.54
30,Food & Tobacco Manufacturing,Puglia,S4,0.6,S2,0.785714286,S4,0.5,S4,0.5,CCC,BBB,A,39191.286,36226.924,31682.484,20340.323,17164.296,12404.818,13394.004,17744.534,18052.231,16613.768,13350.961,12361.428,43079.513,39322.385,39322.385,-3388.082,420.74,2263.491,-3550.526,192.29,1546.946,-1888.49,1818.386,3049.745
31,Waste Management & Treatment,Puglia,S2,0.785714286,S2,0.785714286,,,,,BB,BB,BBB,33835.919,34184.879,25002.633,22857.045,25983.725,19184.608,11354.594,9343.572,7038.547,15549.64,16550.28,13771.626,41229.394,37323.068,37323.068,2590.328,2704.463,4676.57,2011.021,2305.026,3726.613,3947.283,3732.186,5383.184
