ID,ESG_class,final_normalized_score_env,final_normalized_score_social,final_normalized_score_governance,MORE_score_2022,MORE_score_2021,MORE_score_2020,total_assets_2022,total_assets_2021,total_assets_2020,current_assets_2022,current_assets_2021,current_assets_2020,shareholders_funds_2022,shareholders_funds_2021,shareholders_funds_2020,current _liabilities_2022,current _liabilities_2021,current _liabilities_2020,turnover_2022,turnover_2021,EBIT_2022,EBIT_2021,EBIT_2020,net_income_2022,net_income_2021,net_income_2020,EBITDA_2022,EBITDA_2021,EBITDA_2020,sectors_Financials,sectors_Health.Util,sectors_Manufacturing,sectors_Tech.Com,regions_Center,regions_Islands,regions_Northeast,regions_Northwest,regions_South
327,S3,0.785714286,0.785714286,0.642857143,2,3,3,6838.411,6452.944,5239.633,6179.344,5818.756,4785.175,2703.734,2150.215,1753.055,4002.601,4188.265,3323.546,2926.874,2895.078,715.196,245.216,146.492,553.519,176.335,102.91,871.325,326.704,238.522,False,False,True,False,False,False,False,True,False
960,S3,0.785714286,0.785714286,0.642857143,3,3,5,178704.411,177259.902,131721.139,133095.569,132865.031,84567.256,64255.669,47305.745,31140.99,74753.82,91580.138,56201.009,272724.211,259486.061,23773.914,22940.048,2483.495,16418.256,15885.528,1290.322,28312.827,29655.796,5010.614,False,False,True,False,False,False,True,False,False
1751,S3,0.785714286,0.642857143,0.642857143,3,2,5,16783.804,14550.043,15065.014,12782.927,10109.852,10434.235,6235.594,5947.553,5900.542,8289.173,5714.229,6321.59,18741.546,14947.741,1499.251,936.726,-177.992,982.05,544.216,555.833,2461.259,1892.03,442.943,False,False,True,False,False,False,True,False,False
1123,S3,0.785714286,0.785714286,0.642857143,5,5,5,84725.27000546448,93484.0,80837.0,49114.43432513661,24918.0,22420.0,30380.33081693989,12705.0,10195.0,36294.25451639345,34539.0,24335.0,128322.42044808745,26563.0,5509.93537978142,3171.0,3105.0,4401.0814043715845,2516.0,1061.0,9368.34388150289,12510.0,12947.0,False,False,False,False,True,False,False,False,False
255,S3,0.785714286,0.642857143,0.642857143,3,3,3,46589.774,50860.705,46051.818,34176.994,37346.118,31285.853,22515.636,25590.358,22054.185,19457.674,18248.797,15503.503,35897.859,34063.966,3745.892,5926.557,4145.697,2125.733,4036.173,2731.868,6662.224,8281.979,5835.498,False,False,True,False,False,True,False,False,False
1450,S3,0.928571429,0.642857143,0.642857143,4,3,4,94672.784,66081.53,56679.374,53122.229,47984.525,40457.474,28963.308,21303.695,10024.979,34125.73,37074.712,33640.549,84274.431,86207.536,1737.006,7469.892,3517.554,6614.82,10635.503,2723.584,5015.091,10700.869,6515.426,True,False,False,False,False,False,False,True,False
869,S3,0.785714286,0.785714286,0.642857143,2,4,4,46730.424,42552.442,40964.339,36400.668,32729.207,32458.923,28802.325,26816.812,26627.217,11757.223,9705.909,11830.266,45355.708,37874.985,2575.667,-113.15,-210.236,1985.511,189.597,26.063,4825.792,3038.707,4287.849,False,False,True,False,False,False,False,True,False
531,S3,0.785714286,0.642857143,0.642857143,2,2,3,144948.33794392523,202884.852,219803.278,82661.31893613708,152931.145,164696.285,54930.01125700934,107555.529,99707.547,58482.62091900312,46672.129,58801.019,135104.59587383177,172201.591,10401.377903426792,15324.002,12622.875,6873.286386292835,17372.721,13384.855,16713.743878548896,27335.384,22324.471,False,False,True,False,False,False,False,False,True
891,S3,0.642857143,0.642857143,0.642857143,2,2,1,84725.27000546448,40654.086,37432.783,49114.43432513661,16368.518,14298.75,30380.33081693989,26131.307,25989.367,36294.25451639345,8550.284,8222.275,128322.42044808745,70961.533,5509.93537978142,732.315,2507.368,4401.0814043715845,631.591,1869.979,9368.34388150289,4149.481,3911.258,False,False,False,False,False,False,False,True,False
1606,S3,0.642857143,0.785714286,0.642857143,3,3,3,84725.27000546448,4816.793,4463.028,49114.43432513661,1118.389,585.651,30380.33081693989,4038.319,4035.817,36294.25451639345,216.432,243.921,128322.42044808745,492.575,5509.93537978142,41.897,35.769,4401.0814043715845,26.231,24.975,9368.34388150289,223.285,124.936,False,False,False,False,False,False,False,False,True
391,S3,0.785714286,0.785714286,0.642857143,2,4,3,363.4,536.733,574.522,308.305,455.823,478.598,159.98,118.182,113.221,162.328,216.226,146.676,636.011,488.366,54.032,6.574,37.252,41.798,4.958,33.854,80.204,38.727,66.008,True,False,False,False,False,False,True,False,False
647,S3,0.785714286,0.785714286,0.642857143,4,4,4,7480.882,6738.69,6526.316,6425.304,5801.737,5629.672,2747.176,2743.606,2728.799,3154.983,2493.024,2597.129,3990.968,3953.397,138.751,162.382,156.978,3.57,13.806,39.598,330.192,288.998,240.271,False,False,True,False,False,False,False,False,True
697,S3,0.785714286,0.785714286,0.642857143,5,4,7,5190.343,5401.922,5864.512,4440.878,4755.467,4827.835,495.448,782.493,574.667,2728.535,2355.435,2968.453,5027.8,4622.509,534.527,686.192,-343.892,-24.035,621.88,-248.019,750.517,882.41,-82.963,False,False,False,False,False,False,False,False,True
1053,S4,0.642857143,0.5,0.642857143,2,3,3,16911.153,16396.301,15686.488,8057.384,7372.509,6748.633,9926.051,8814.122,8354.207,5693.207,6176.289,6165.245,5651.724,4742.861,1253.87,600.16,863.904,1111.928,459.914,736.848,1435.789,742.195,1009.825,False,False,False,False,True,False,False,False,False
1124,S4,0.214285714,0.642857143,0.642857143,4,4,6,22784.316,23364.41,25806.866,18636.797,19038.446,20845.695,8355.52,8141.676,8059.75,8199.097,6698.44,5209.791,23399.044,22598.361,509.298,292.263,-1498.884,212.63,79.03,-1758.021,882.016,704.905,-623.011,False,False,False,False,True,False,False,False,False
1671,S3,0.785714286,0.642857143,0.642857143,2,2,2,159983.301,155586.145,126896.573,139053.606,137460.324,107935.115,81684.372,71668.472,61719.384,60481.574,70803.612,49322.77,254996.675,237604.267,15804.492,15748.582,8805.003,11673.317,11684.501,6614.577,18826.687,19340.656,11513.781,False,False,True,False,False,False,True,False,False
1843,S4,0.357142857,0.642857143,0.642857143,6,6,5,103.208,127.328,105.001,99.123,122.378,100.002,18.776,29.856,45.065,19.959,38.5,20.552,760.365,492.822,-6.89,-13.637,-8.32,-11.079,-15.21,-8.753,-6.025,-12.669,-7.304,False,False,False,False,False,False,False,False,True
684,S3,0.785714286,0.642857143,0.642857143,4,4,4,84725.27000546448,59230.15,55270.875,49114.43432513661,50185.059,47602.427,30380.33081693989,14733.921,12475.883,36294.25451639345,40021.752,37950.182,128322.42044808745,95575.908,5509.93537978142,3251.156,2812.895,4401.0814043715845,2258.039,1930.946,9368.34388150289,4308.034,3480.807,False,False,False,False,False,False,False,False,True
423,S4,0.357142857,0.642857143,0.642857143,4,4,4,133624.251,122019.953,115319.236,54614.803,48029.824,52604.749,44215.771,43961.423,43660.964,42012.876,45339.8,39206.592,51982.084,48466.988,1662.894,2205.909,3323.395,248.867,242.068,1723.829,8916.737,8574.244,5381.873,False,False,True,False,False,False,False,False,True
1487,S3,0.785714286,0.642857143,0.642857143,3,4,4,50175.308,41026.927,40949.686,45465.613,36506.941,35262.71,14562.064,10225.448,8474.516,29524.442,23599.043,24421.045,140903.947,118007.746,9065.935,4132.643,3529.054,5961.001,2395.165,2252.56,9378.371,4470.622,3928.543,False,False,False,False,False,False,False,True,False
1310,S3,0.785714286,0.642857143,0.642857143,3,3,4,144948.33794392523,50146.569,46853.469,82661.31893613708,32946.406,27456.367,54930.01125700934,22318.479,20892.043,58482.62091900312,14785.839,11452.452,135104.59587383177,42132.652,10401.377903426792,3186.834,2515.645,6873.286386292835,2349.389,1771.705,16713.743878548896,6282.872,4206.004,False,False,True,False,False,False,False,True,False
1222,S3,0.785714286,0.642857143,0.642857143,4,3,3,355380.192,294612.191,274015.623,323191.068,261522.338,242427.829,124243.386,116693.818,106986.43,201578.708,139356.203,126045.494,339157.771,260235.81,18688.845,13827.206,12643.335,11650.834,10119.53,9974.348,24664.619,19126.211,17236.515,False,False,True,False,False,False,False,True,False
412,S3,0.928571429,0.642857143,0.642857143,5,4,3,15866.565,16152.106,14543.835,9391.555,10245.979,9113.634,6401.351,6855.647,6777.537,6031.516,5247.181,5334.897,17069.077,17357.24,-321.762,132.55,211.755,-454.292,78.108,192.707,735.055,1179.652,1192.514,False,False,True,False,False,False,True,False,False
1490,S3,0.785714286,0.642857143,0.642857143,2,2,2,106966.613,94534.638,87998.131,79541.887,69613.92,60138.94,71277.841,66684.179,63092.41,30097.641,24315.056,20835.416,101347.111,87482.674,10929.845,8537.809,5766.912,7193.664,6091.766,4271.431,12309.97,9867.514,6618.324,False,False,False,False,False,False,False,True,False
1293,S3,0.785714286,0.642857143,0.642857143,3,5,3,93487.966,85103.885,74376.24,47744.711,45101.397,37194.659,52656.314,50729.201,51252.865,30576.058,25489.251,14020.11,75366.161,57084.358,1654.313,-1565.173,181.274,2695.864,934.406,2181.238,2683.464,-612.954,1092.096,False,False,True,False,False,False,False,True,False
1329,S3,0.785714286,0.642857143,0.642857143,3,3,2,46237.272,45187.596,40645.393,27814.576,25854.42,21540.724,22301.998,21887.125,19952.752,16422.872,14624.078,9704.019,32596.231,29715.16,1875.387,2180.654,3309.709,1089.875,1934.37,2460.854,3622.839,3823.039,3888.466,False,False,True,False,False,False,False,True,False
1300,S3,0.785714286,0.642857143,0.642857143,2,5,3,70196.31,72915.537,74605.28,54095.267,54386.321,54175.778,52835.937,49075.864,50056.611,15316.596,14224.842,11923.891,52328.584,36603.467,4657.918,-1445.205,2016.241,3754.771,-522.993,2034.163,7443.862,1317.694,3638.159,False,False,True,False,False,False,False,True,False
1301,S3,0.785714286,0.642857143,0.642857143,3,2,2,72500.812,79771.434,83514.751,46001.055,52184.657,55640.91,41271.668,38713.526,36140.264,26099.037,33103.403,36177.92,51983.018,64529.377,2225.246,6751.187,5166.289,6421.204,6041.863,6525.055,3679.333,8229.306,5999.333,False,False,True,False,False,False,False,True,False
1287,S3,0.785714286,0.642857143,0.642857143,3,4,4,75946.357,66925.45,63266.637,47686.197,44475.293,40253.955,28571.047,24452.355,24903.658,26281.425,22162.918,10251.132,63141.204,47836.241,6071.442,447.726,1327.637,5330.896,15.635,1256.21,10654.553,5439.925,3650.775,False,False,True,False,False,False,False,True,False
1259,S3,0.785714286,0.642857143,0.642857143,2,2,3,137220.935,137755.398,125184.325,90379.953,97310.406,84994.244,78840.178,72017.072,61219.852,37204.442,39273.42,31947.717,118211.662,113840.451,11697.253,15677.073,7831.346,9580.754,12173.785,4460.967,16028.526,19987.83,12006.128,False,False,True,False,False,False,False,True,False
88,S3,0.928571429,0.642857143,0.642857143,3,3,3,144948.33794392523,50630.657,44344.861,82661.31893613708,20386.986,18379.786,54930.01125700934,21837.811,17871.678,58482.62091900312,12311.304,11758.749,135104.59587383177,19351.078,10401.377903426792,5737.995,4409.162,6873.286386292835,3939.158,3062.615,16713.743878548896,8605.397,7133.454,False,False,True,False,False,False,False,False,True
290,S3,0.928571429,0.642857143,0.642857143,5,4,4,166339.644,124884.066,106519.652,131278.967,88816.641,63400.675,44069.32,46586.292,46061.623,36161.165,31752.921,18528.696,98799.643,85815.949,-115.706,2133.46,3199.575,-2779.366,197.889,250.181,8423.408,10082.086,10757.871,False,True,False,False,False,True,False,False,False
978,S3,0.785714286,0.642857143,0.642857143,1,2,3,33214.612,26767.835,8544.259,29622.667,23746.341,7110.605,17225.176,10119.249,3219.387,12861.269,14169.612,4455.872,82683.263,43215.971,11720.113,9532.362,471.655,8026.708,7193.887,411.619,12280.839,10124.302,944.469,False,False,True,False,False,False,True,False,False
676,S3,0.928571429,0.642857143,0.642857143,3,3,3,109073.755,96196.854,95554.716,75026.673,62730.45,62881.337,47635.095,44750.266,41909.331,36119.316,24860.748,28056.754,178220.636,161104.502,4331.565,3924.851,3017.414,3644.654,3263.802,2447.982,13851.265,13471.084,12472.695,False,True,False,False,False,False,False,False,True
818,S3,0.928571429,0.642857143,0.642857143,2,3,1,32602.207,29757.866,27663.662,24193.963,20142.285,17656.99,18456.528,16968.255,16200.491,8908.753,8489.973,7804.211,31172.986,23895.922,3853.985,2053.626,4779.419,2551.193,1356.53,3451.715,5808.419,3833.334,6216.087,True,False,False,False,True,False,False,False,False
1752,S3,0.785714286,0.642857143,0.642857143,3,4,4,26782.164,30842.358,56834.604,21809.66,26438.966,54141.696,10310.474,9852.204,10414.062,13104.925,16005.299,40565.896,18483.625,14199.614,622.955,913.782,1906.608,430.216,76.001,2575.953,2249.146,2135.746,2676.132,False,False,True,False,False,False,True,False,False
1776,S3,0.785714286,0.642857143,0.642857143,5,6,7,160077.0,152221.0,145650.0,119654.0,109600.0,97518.0,11195.0,7472.0,9307.0,103227.0,96185.0,80185.0,315248.0,243847.0,7183.0,-407.0,-19633.0,2249.0,-1456.0,-20612.0,14412.0,6439.0,-5100.0,False,False,False,False,False,False,True,False,False
